Model,Release Date,Release Year,Model ID,Device Type,Year,Month,Company,Company_real,Company ID,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),Mass (grams),Pixel Density (per inch),Mass New,Depth New,principal component 1,principal component 2,Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams)
Psion Organiser II LZ 64,1989-01-01,1989,1,Phone,1989,1,Psion,Zebra Technologies,152,0,0,0,0.050359712,0,0,0.044181034,0,0.955818966,0.853110969,-0.541847059,0.141578691,0.369713506,0.118852459,0.146889031,0.059332377,0.044181034
Hewlett-Packard 95LX (HP Jaguar),1991-04-01,1991.25,2,Phone,1991,4,Hewlett-Packard,Hewlett-Packard,58,0.00021363,1.54E-05,0.002230017,0.223021583,0.056910569,0.047619048,0.05387931,0.030792529,0.94612069,0.872354073,-0.463242431,0.239325134,0.416098226,0.147540984,0.127645927,0.065798771,0.05387931
Psion Series 3,1991-06-01,1991.416667,3,Phone,1991,6,Psion,Zebra Technologies,152,9.16E-05,1.54E-05,0.001894864,0.18705036,0.056910569,0.023809524,0.044181034,0.035335689,0.955818966,0.898011546,-0.47703032,0.21281477,0.432469304,0.147540984,0.101988454,0.056634477,0.044181034
Hewlett-Packard 95LX 1MB RAM (HP Jaguar),1992-01-01,1992,4,Phone,1992,1,Hewlett-Packard,Hewlett-Packard,58,0.000457778,1.54E-05,0.002230017,0.223021583,0.056910569,0.047619048,0.05387931,0.030792529,0.94612069,0.872354073,-0.463114107,0.239323281,0.416098226,0.147540984,0.127645927,0.065798771,0.05387931
Psion Series 3a,1993-03-01,1993.166667,5,Phone,1993,3,Psion,Zebra Technologies,152,0.00021363,1.54E-05,0.003385544,0.258992806,0.154471545,0.063492063,0.046336207,0.129984856,0.953663793,0.898011546,-0.395750927,0.228317207,0.432469304,0.147540984,0.101988454,0.056634477,0.046336207
Hewlett-Packard 1000CX,1993-05-01,1993.333333,6,Phone,1993,5,Hewlett-Packard,Hewlett-Packard,58,0.000457778,1.54E-05,0.003500596,0.244604317,0.219512195,0.103174603,0.060344828,0.224886421,0.939655172,0.872354073,-0.341739172,0.189835287,0.416098226,0.147540984,0.127645927,0.065798771,0.060344828
Hewlett-Packard 100LX (HP Cougar),1993-05-01,1993.333333,7,Phone,1993,5,Hewlett-Packard,Hewlett-Packard,58,0.000457778,1.54E-05,0.003500596,0.244604317,0.219512195,0.103174603,0.060344828,0.224886421,0.939655172,0.872354073,-0.341739172,0.189835287,0.416098226,0.147540984,0.127645927,0.065798771,0.060344828
Apple Newton H1000 (Apple OMP),1993-08-01,1993.583333,8,Phone,1993,8,Apple,Apple Inc,10,0.000274667,6.45E-05,0.009548354,0.251798561,0.056910569,0.150793651,0.075431034,0.08859162,0.924568966,0.916613214,-0.393774353,0.2131886,0.294133697,0.554098361,0.083386786,0.076654605,0.075431034
Apple Newton MessagePad 100,1993-08-01,1993.583333,9,Tab,1993,8,Apple,Apple Inc,10,0.000274667,6.45E-05,0.009548354,0.251798561,0.056910569,0.150793651,0.075431034,0.08859162,0.924568966,0.916613214,-0.393774353,0.2131886,0.294133697,0.554098361,0.083386786,0.076654605,0.075431034
Hewlett-Packard 1000CX 2MB RAM,1994-01-01,1994,10,Phone,1994,1,Hewlett-Packard,Hewlett-Packard,58,0.000946074,1.54E-05,0.003500596,0.244604317,0.219512195,0.103174603,0.060344828,0.224886421,0.939655172,0.872354073,-0.341482524,0.189831579,0.416098226,0.147540984,0.127645927,0.065798771,0.060344828
Hewlett-Packard 100LX 2MB RAM (HP Cougar),1994-02-01,1994.083333,11,Phone,1994,2,Hewlett-Packard,Hewlett-Packard,58,0.000946074,1.54E-05,0.003500596,0.244604317,0.219512195,0.103174603,0.060344828,0.224886421,0.939655172,0.872354073,-0.341482524,0.189831579,0.416098226,0.147540984,0.127645927,0.065798771,0.060344828
Apple Newton MessagePad 110 (Apple Lindy),1994-03-01,1994.166667,12,Tab,1994,3,Apple,Apple Inc,10,0.000457778,6.45E-05,0.009548354,0.201438849,0.056910569,0.142857143,0.112198276,0.110802625,0.887801724,0.8466966,-0.404122155,0.193544577,0.259481583,0.631967213,0.1533034,0.123182665,0.112198276
Apple Newton MessagePad 120,1994-10-01,1994.75,13,Tab,1994,10,Apple,Apple Inc,10,0.000946074,6.45E-05,0.009548354,0.215827338,0.056910569,0.142857143,0.084825431,0.101716305,0.915174569,0.8466966,-0.404434543,0.195750112,0.259481583,0.631967213,0.1533034,0.123182665,0.084825431
Hewlett-Packard OmniGo 100,1995-10-01,1995.75,14,Phone,1995,10,Hewlett-Packard,Hewlett-Packard,58,0.000457778,4.81E-05,0.007547442,0.143884892,0.056910569,0.103174603,0.057974138,0.116860172,0.942025862,0.891597178,-0.428743116,0.135862853,0.396998636,0.18852459,0.108402822,0.061666274,0.057974138
Apple Newton MessagePad 120 8MB,1995-11-01,1995.833333,15,Tab,1995,11,Apple,Apple Inc,10,0.000946074,0.000130058,0.009548354,0.215827338,0.056910569,0.142857143,0.084825431,0.101716305,0.915174569,0.8466966,-0.404412682,0.195770942,0.259481583,0.631967213,0.1533034,0.123182665,0.084825431
Hewlett-Packard 200LX (HP Felix),1996-01-01,1996,16,Phone,1996,1,Hewlett-Packard,Hewlett-Packard,58,0.000946074,4.81E-05,0.003500596,0.244604317,0.219512195,0.103174603,0.054310345,0.224886421,0.945689655,0.872354073,-0.341656974,0.187340073,0.416098226,0.147540984,0.127645927,0.065798771,0.054310345
Hewlett-Packard OmniGo 700LX Communicator Plus,1996-02-01,1996.083333,17,Phone,1996,2,Hewlett-Packard,Hewlett-Packard,58,0.000946074,4.81E-05,0.003500596,0.244604317,0.219512195,0.103174603,0.07262931,0.224886421,0.92737069,0.673508659,-0.354759351,0.212164653,0.492496589,0.155737705,0.326491341,0.189109907,0.07262931
Apple Newton MessagePad 130,1996-03-01,1996.166667,18,Tab,1996,3,Apple,Apple Inc,10,0.001190222,0.000130058,0.009548354,0.215827338,0.056910569,0.142857143,0.090517241,0.101716305,0.909482759,0.8466966,-0.40410953,0.198128912,0.259481583,0.631967213,0.1533034,0.123182665,0.090517241
U.S. Robotics Palm Pilot 1000,1996-06-01,1996.416667,19,Phone,1996,6,U.S.,Palm,102,3.05E-05,7.17E-06,0.007547442,0.115107914,0.024390244,0.063492063,0.021551724,0.058556285,0.978448276,0.923669019,-0.473520139,0.128978336,0.203274216,0.286885246,0.076330981,0.027707,0.021551724
U.S. Robotics Palm Pilot 5000,1996-06-01,1996.416667,20,Phone,1996,6,U.S.,Palm,102,0.00021363,7.17E-06,0.007547442,0.115107914,0.024390244,0.063492063,0.021551724,0.058556285,0.978448276,0.923669019,-0.473423886,0.128976946,0.203274216,0.286885246,0.076330981,0.027707,0.021551724
Nokia 9000 Communicator,1996-08-01,1996.583333,21,Phone,1996,8,Nokia,Nokia Corporation,92,0.001922666,6.45E-05,0.011549266,0.201438849,0.219512195,0.083333333,0.07262931,0.261736497,0.92737069,0.795381655,-0.347069027,0.157168727,0.454297408,0.06147541,0.204618345,0.080637218,0.07262931
Hewlett-Packard OmniGo 120 Organizer Plus,1996-09-01,1996.666667,22,Phone,1996,9,Hewlett-Packard,Hewlett-Packard,58,0.000946074,4.81E-05,0.007547442,0.143884892,0.056910569,0.103174603,0.057974138,0.116860172,0.942025862,0.891597178,-0.428486468,0.135859145,0.396998636,0.18852459,0.108402822,0.061666274,0.057974138
